 Time  bebop1_x  bebop1_y  bebop1_vx  bebop1_vy  bebop1_yaw  bebop2_x  bebop2_y  bebop2_vx  bebop2_vy  bebop2_yaw  bebop3_x  bebop3_y  bebop3_vx  bebop3_vy  bebop3_yaw  bebop4_x  bebop4_y  bebop4_vx  bebop4_vy  bebop4_yaw  target_x  target_y  target_vx  target_vy  target_yaw 
4.32e-07  0.859907  -1.53157  0.0211109  -0.0015807  2.22879  -0.399645  -1.08489  0.012667  -0.0146484  0.442402  0.745615  0.0307833  -0.0226421  0.000235317  -1.97421  1.36929  -0.672305  0.02654  0.00131378  -3.0137  0.520171  -0.713918  1.78948e-06  6.04063e-05  1.54118  
0.0499672  0.860887  -1.53122  0.0210198  -0.000468703  2.22967  -0.398524  -1.08568  0.0121438  -0.0141417  0.44556  0.744758  0.0310041  -0.0227837  0.000307592  -1.97405  1.371  -0.672025  0.0268084  0.00130387  -3.01315  0.520179  -0.713899  2.17171e-06  7.33308e-05  1.54119  
0.0999765  0.861952  -1.53112  0.0212252  -0.000892115  2.23048  -0.397599  -1.08614  0.0121964  -0.0128649  0.448285  0.743804  0.031116  -0.0226156  0.000288169  -1.97434  1.3718  -0.671399  0.0237896  0.00315189  -3.01649  0.520172  -0.713904  1.95737e-06  6.62497e-05  1.54126  
0.149994  0.863347  -1.53088  0.0225118  3.50324e-05  2.23149  -0.396034  -1.08669  0.0156094  -0.0132244  0.446414  0.742044  0.0310878  -0.0254959  7.00432e-05  -1.97457  1.37293  -0.669957  0.0250995  0.00718053  -3.01687  0.520169  -0.713899  1.99976e-06  6.78433e-05  1.54133  
0.199977  0.864237  -1.53099  0.0215577  -0.00112506  2.2302  -0.395422  -1.08688  0.0135297  -0.0119397  0.449086  0.740871  0.0308978  -0.0244799  -0.000754821  -1.9725  1.37387  -0.668969  0.0250563  0.00745295  -3.00996  0.520172  -0.713896  2.01294e-06  6.83222e-05  1.54134  
0.249932  0.866122  -1.53137  0.023485  -0.00174377  2.23155  -0.39349  -1.08719  0.0170731  -0.0114291  0.447186  0.738186  0.0304066  -0.0279416  -0.00164022  -1.96511  1.37442  -0.667229  0.0219777  0.00955569  -3.00438  0.520158  -0.713903  1.73923e-06  5.89612e-05  1.54131  
0.29994  0.867235  -1.53178  0.02227  -0.00241613  2.22998  -0.392513  -1.08716  0.015647  -0.00976672  0.454511  0.735943  0.0299431  -0.0292162  -0.00228974  -1.96007  1.37451  -0.66577  0.0195269  0.0113933  -2.99351  0.520166  -0.713862  2.63755e-06  8.9531e-05  1.54135  
0.349941  0.868971  -1.53284  0.0249563  -0.00533128  2.22928  -0.390868  -1.08645  0.0189879  -0.00645503  0.460221  0.731921  0.0289967  -0.0375966  -0.00472732  -1.94961  1.3744  -0.662825  0.0178999  0.0189522  -2.98665  0.520156  -0.713862  2.52847e-06  8.56973e-05  1.5413  
0.399974  0.870853  -1.53406  0.0247465  -0.00619417  2.22832  -0.389305  -1.08553  0.0182705  -0.0048207  0.46293  0.727553  0.0283308  -0.0384487  -0.00410862  -1.93699  1.37335  -0.660936  0.0133848  0.0157899  -2.97419  0.520115  -0.713906  1.29462e-06  4.38308e-05  1.54127  
0.45  0.872215  -1.53579  0.0256938  -0.0114956  2.22841  -0.387602  -1.08452  0.0222542  -0.00162358  0.468677  0.722222  0.0272636  -0.0524807  -0.00772617  -1.92557  1.37258  -0.658499  0.0107983  0.0229531  -2.96843  0.520129  -0.713896  1.49867e-06  5.07738e-05  1.54129  
