 Time  bebop1_x  bebop1_y  bebop1_vx  bebop1_vy  bebop1_yaw  bebop2_x  bebop2_y  bebop2_vx  bebop2_vy  bebop2_yaw  bebop3_x  bebop3_y  bebop3_vx  bebop3_vy  bebop3_yaw  bebop4_x  bebop4_y  bebop4_vx  bebop4_vy  bebop4_yaw  target_x  target_y  target_vx  target_vy  target_yaw 
0.800009  1.2639  -1.45383  0.00675342  -0.0292513  2.17007  -0.114326  -1.02061  0.0159923  0.0128229  0.469366  0.414752  0.152148  0.0360767  -0.0146761  -1.08953  1.43134  -0.343674  -0.0125485  -0.0151624  -2.51897  0.750771  -0.649871  -6.59688e-05  0.00207547  1.60257  
0.849973  1.26268  -1.45747  0.0044145  -0.032577  2.18254  -0.112666  -1.01811  0.0183796  0.0158737  0.475468  0.418319  0.152153  0.0400514  -0.0136324  -1.08214  1.43265  -0.346466  -0.00890942  -0.0187071  -2.51643  0.750582  -0.648562  -9.9191e-05  0.00305226  1.60328  
0.90002  1.26127  -1.4618  0.00113949  -0.0390598  2.19541  -0.11133  -1.01574  0.018291  0.0183636  0.488076  0.422089  0.152714  0.0436209  -0.0102769  -1.07479  1.434  -0.349578  -0.00573547  -0.023232  -2.51341  0.750382  -0.646893  -0.000142766  0.00428398  1.60411  
0.950081  1.2597  -1.46628  -0.00163964  -0.0427661  2.20501  -0.109785  -1.0129  0.0198895  0.0226244  0.495496  0.426164  0.15281  0.0468815  -0.0106256  -1.06921  1.43533  -0.352697  -0.00334067  -0.0259828  -2.51273  0.750059  -0.64491  -0.000195582  0.00572474  1.60495  
1.00007  1.25795  -1.4713  -0.00492078  -0.0489902  2.21362  -0.108217  -1.01031  0.0208314  0.0243543  0.504281  0.430495  0.153246  0.0508012  -0.0080853  -1.05894  1.43698  -0.356307  0.00051547  -0.0311685  -2.50905  0.749643  -0.642733  -0.000251878  0.00727174  1.60542  
1.04997  1.25618  -1.47658  -0.00723043  -0.0536149  2.22166  -0.106635  -1.00775  0.0217578  0.0264035  0.510763  0.435174  0.154009  0.0548205  -0.00549778  -1.0551  1.43892  -0.36067  0.00421726  -0.0371379  -2.51125  0.749181  -0.640463  -0.000313186  0.00883332  1.60624  
1.10001  1.25477  -1.48206  -0.00812713  -0.0586987  2.22881  -0.10534  -1.00506  0.0213099  0.0290896  0.523322  0.439945  0.154847  0.058249  -0.00355658  -1.05047  1.44087  -0.364326  0.00690225  -0.0380807  -2.51114  0.748756  -0.638092  -0.000379479  0.0104157  1.60721  
1.15002  1.25343  -1.48781  -0.0098012  -0.0640637  2.2384  -0.103957  -1.00234  0.0223417  0.0314529  0.526794  0.445216  0.155798  0.0634339  -0.0017137  -1.04313  1.44281  -0.368567  0.00948276  -0.043595  -2.51116  0.748222  -0.635676  -0.000445408  0.011978  1.60796  
1.20001  1.25258  -1.49369  -0.00941385  -0.0684617  2.24621  -0.102848  -0.999985  0.0216649  0.0316488  0.532064  0.450984  0.157077  0.0683987  0.00131858  -1.03893  1.44475  -0.373055  0.0119904  -0.0479006  -2.50772  0.747567  -0.633216  -0.000509641  0.0135132  1.60849  
1.25001  1.25208  -1.49971  -0.00889427  -0.0728573  2.25136  -0.1017  -0.997693  0.0219663  0.0328056  0.539153  0.456999  0.158704  0.0728587  0.00456676  -1.0361  1.44655  -0.377562  0.0136124  -0.0511753  -2.50814  0.746942  -0.630622  -0.000579327  0.0150922  1.60916  
